NAME,FICE,STATE,ZIPCODE
"A. T. Still University",002477,MO,63501-1497
"Harding University Main Campus",001097,AR,72149-5615
"University of Kansas Main Campus",001948,KS,66045-7418
"The Art Institute of Fort Worth",770918,TX,76116
"The Art Institute of St. Louis",770738,MO,63303
"Brown Mackie College-Oklahoma City",770252,OK,73132
"Brown Mackie College- Albuquerque",770741,NM,87123
"Brown Mackie College - San Antonio",770799,TX,78229
"Cleveland University - Kansas City",020907,KS,66210
"Salina Area Technical College",005499,KS,67401
"Texas A & M University - Central Texas",667086,TX,76549
"Urshan Graduate School of Theology",041461,MO,63031-7526
"Brown Mackie College",770798,TX,76021
"Abilene Christian University",003537,TX,79699-9100
"Otero Junior College",001362,CO,81050-3346
"Doane College",002544,NE,68333
"Independence Community College",001924,KS,67301-0708
"Northeast Iowa Community College",004587,IA,52132-0400
"Simpson College",001887,IA,50125-1297
"Clarke University",001852,IA,52001-3198
"College of the Ozarks",002500,MO,65726-0017
"Logan University",004703,MO,63017
